Variable Name,Variables for ML
SWB_1,I am satisfied with my life
SWB_2,I am optimistic about my future
SWB_3,"If I work hard today, I will be more successful in the future"
FWB2_4,My finances control my life
FS1_1,I know how to get myself to follow through on my financial intentions
FS1_2,I know where to find the advice I need to make decisions involving money
FS1_3,I know how to make complex financial decisions
FS1_4,I am able to make good financial decisions that are new to me
FS1_5,I am able to recognize a good financial investment
FS1_6,I know how to keep myself from spending too much
FS1_7,I know how to make myself save
FS2_1,I know when I do not have enough info to make a good decision involving my money
FS2_2,I know when I need advice about my money
FS2_3,I struggle to understand financial information
SUBKNOWL1,How would you assess your overall financial knowledge?
ACT1_1,I follow-through on my financial commitments to others
PROPPLAN_3,I set financial goals for what I want to achieve with my money
PROPPLAN_4,I prepare a clear plan of action w/ detailed steps to achieve my financial goals
PROPPLAN_1,I consult my budget to see how much money I have left
PROPPLAN_2,I actively consider the steps I need to take to stick to my budget
ACT1_2,I follow-through on financial goals I set for myself
SELFCONTROL_3,I am able to work diligently toward long-term goals
MANAGE1_2,Stayed within your budget or spending plan
MANAGE1_4,"Checked your statements, bills and receipts to make sure there were no errors"
FRUGALITY,"If I can re-use an item I already have, there’s no sense in buying something new"
AUTOMATED_1,A Retirement Savings Account
AUTOMATED_2,A Non-Retirement Savings Account
ASK1_1,I do my own research before making decisions involving money
ASK1_2,I ask other people their opinions before making decisions involving money
SUBNUMERACY2,Prefers words for expressions of probabilities
SUBNUMERACY1,How good are you at working with percentages?
CHANGEABLE,Belief that ability to manage money is NOT changeable
FINGOALS,Do you have a current or recent financial goal?
FK1correct,actual financial knowladge1 com interest
FK2correct,actual financial knowladge2 inflation and returns
FK3correct,actual financial knowladge3 stocks and mutual funds
KH1correct,actual understanding of long-term returns on investment
KH2correct,actual understanding of stocks vs bond vs savings volatility
KH3correct,actual understanding of benefits of diversification
KH4correct,actual understanding of possibility of stock market losses
KH5correct,actual understanding of life insurance
KH6correct,actual understanding of possibility of housing market losses
KH7correct,actual understanding of credit card minimum payments
KH8correct,actual understanding of relationship of bonds and interest rates
KH9correct,actual understanding of mortgage term length on total interest paid
HOUSING,Which one of the following best describes your housing situation?
LIVINGARRANGEMENT,Current living arrangements
HOUSERANGES,About how much do you pay for your home each month?
VALUERANGES,"If you were to sell your home today, what do you think it would be worth?"
MORTGAGE,What do you owe on your home today?
SAVINGSRANGES,How much money do you have in savings today...?
PRODHAVE_1,Checking or Savings Account at a bank or credit union
PRODHAVE_2,Life Insurance
PRODHAVE_3,Have Health Insurance
PRODHAVE_4,Retirement Account (such as a 401k or IRA)
PRODHAVE_5,Pension
PRODHAVE_6,"Non-Retirement Investments (such as stocks, bonds or mutual funds)"
PRODHAVE_7,Education Savings Account (such as 529 or Coverdale)
PRODHAVE_8,Student/Education Loan (for yourself or someone else)
PRODHAVE_9,Respondent did not select any item in PRODHAVE bank
PRODUSE_1,Used payday loan or cash advance loan
PRODUSE_2,Used pawn loan or auto title loan
PRODUSE_3,Used reloadable card not linked with checking or savings account
PRODUSE_4,Used nonbank service for international money transfers
PRODUSE_5,Used nonbank service for check cashing or purchasing a money order
PRODUSE_6,Respondent did not select any item in PRODUSE bank
VOLATILITY,Household income volatility
BENEFITS_1,Health Insurance at work
BENEFITS_2,401(k) or Other Employer-Sponsored Retirement Savings Account
BENEFITS_3,Defined-Benefit Pension
BENEFITS_4,Tuition Reimbursement and/or Student Debt Repayment
BENEFITS_5,Work/Life Benefits
FRAUD2,Victim of financial fraud or attempted financial fraud in past 5 years
COVERCOSTS,Course of action if income did not cover living costs
BORROW_1,My friends or family would lend me the money and expect me to repay them
BORROW_2,My friends or family would give me the money with no expectation of repayment
SHOCKS_1,Lost a job
